State,City,Organization Name,Facility Name,Application,SIC4,NAICS,Op Year,Latest Install Year,Capacity (kW),Prime Mover,Fuel Class - Prim Fuel,Last Verified,Project Profile Link,Microgrid,Critical Infrastructure,EPA Award Winner
AK,Chevak,Alaska Village Electric Cooperative,Chevak,Utilities,4931,221112,,,"1,800",Reciprocating Engine,OIL - Diesel,2013,,,,
AK,Eek,Alaska Village Electric Cooperative,Eek,Utilities,4931,221112,,,579,Reciprocating Engine,OIL - Diesel,2013,,,,
AK,Holy Cross,Alaska Village Electric Cooperative,Holy Cross,Utilities,4931,221112,,,632,Reciprocating Engine,OIL - Diesel,2013,,,,
AK,Huslia,Alaska Village Electric Cooperative,Huslia,Utilities,4931,221112,,,800,Reciprocating Engine,OIL - Diesel,2013,,,,
AK,Fairbanks,University of Alaska - Fairbanks,UAF Combined Heat and Power Plant,Colleges/Universities,8221,61131,2018,2018,"17,000",Boiler/Steam Turbine,COAL - Coal,2019,,,X,
AK,Kake,Tlingit-Haida Regional Electrical Authority,Kake,Utilities,4931,221112,2017,2017,"2,000",Reciprocating Engine,OIL - Distillate Fuel Oil,2018,,,,
AK,Tok,Alaska Power & Telephone,Tok Power Plant,Utilities,4931,221112,2017,2017,"5,240",Reciprocating Engine,OIL - Oil,2018,,,,
AK,Fort Yukon,Gwitchyaa Zhee Utility Company,Fort Yukon,Wastewater Treatment,4941,22131,1984,2016,"3,600",Reciprocating Engine,OIL - Distillate Fuel Oil,2017,,,X,
AK,Healy,Golden Valley Electric Association,Healy Unit 2 Power Plant,Misc. Manufacturing,3900,339999,2016,2016,"50,000",Boiler/Steam Turbine,COAL - Coal,2017,,,,
AK,Marshall,Alaska Village Electric Cooperative,Marshall,Utilities,4931,221112,1987,2016,"1,085",Reciprocating Engine,OIL - Diesel,2017,,,,
AK,New Stuyahok,Alaska Village Electric Cooperative,New Stuyahok,Schools,8211,61111,2016,2016,"1,331",Reciprocating Engine,OIL - Oil,2017,,,X,
AK,Nikiski,Oil Platform,Oil Platform,Oil/Gas Extraction,1381,213111,2016,2016,65,Microturbine,NG - Natural Gas,2018,,,,
AK,Noorvik,Noorvik,Noorvik,Utilities,4931,221112,2016,2016,"1,614",Reciprocating Engine,OIL - Oil,2017,,,,
AK,Quinhagak,Alaska Village Electric Cooperative,Quinhagak,Utilities,4931,221112,1986,2016,"4,400",Reciprocating Engine,OIL - Diesel,2017,,,,
AK,Slana,Alaska Power & Telephone,Slana Power Plant,Utilities,4931,221112,2016,2016,"1,072",Reciprocating Engine,OIL - Oil,2018,,,,
AK,St. Paul Island,Saint Paul Municipal Electric Utility,St. Paul Island,Utilities,4931,221112,2001,2016,"7,895",Reciprocating Engine,OIL - Diesel,2016,http://www.chptap.org/Data/projects/StPaulIsland-Project_Profile.pdf,,,
AK,Wasilla,"Knikatnu, Inc.",TransAlaska Building,Commercial Buildings,6512,53112,2016,2016,35,Microturbine,NG - Propane,2017,,,,
AK,Wasilla,KI Energy,Trans-Alaska Building,Commercial Buildings,6512,53112,2016,2016,35,Reciprocating Engine,NG - Natural Gas,2018,,,,
AK,Galena,Galena Electric Utility,Galena,Utilities,4931,221112,1999,2015,"3,900",Reciprocating Engine,OIL - Distillate Fuel Oil,2017,,,,
AK,Noatak,Alaska Village Electric Cooperative,Noatak,Utilities,4931,221112,2004,2015,"1,300",Reciprocating Engine,OIL - Diesel,2017,,,,
AK,Nunam Iqua,"Nunam Iqua Electric, Inc.",Nunam Iqua,Laundries,7215,81231,2000,2015,768,Reciprocating Engine,OIL - Oil,2017,,,,
AK,Saint Michael,Alaska Village Electric Cooperative,St. Michael,Laundries,7215,81231,2015,2015,700,Reciprocating Engine,OIL - Distillate Fuel Oil,2017,,,,
AK,Sleetmute,Middle Kuskokwim Elec. Coop,Sleetmute,General Gov't.,9199,92119,2005,2015,646,Reciprocating Engine,OIL - Diesel,2017,,,,
AK,Tatitlek,Native Village of Tatitlek,Tatitlek,Utilities,4931,221112,2015,2015,315,Reciprocating Engine,OIL - Oil,2017,,,,
AK,Point Hope,North Slope Borough Power & Light,Point Hope,Utilities,4931,221112,1995,2014,"3,100",Reciprocating Engine,OIL - Distillate Fuel Oil,2015,,,,
AK,Saint George,Saint George Municipal Electric Utility,Saint George,General Gov't.,9199,92119,2014,2014,850,Reciprocating Engine,OIL - Oil,2013,,,,
AK,Stebbins,Alaska Village Electric Cooperative,Stebbins,Utilities,4939,22131,2014,2014,"2,000",Reciprocating Engine,OIL - Oil,2016,,,,
AK,Togiak,Alaska Village Electric Cooperative,Togiak,Schools,8211,61111,1986,2014,"2,400",Reciprocating Engine,OIL - Distillate Fuel Oil,2015,,,X,
AK,Unalaska,City of Unalaska Utility,Unalaska Utility,Utilities,4931,221112,2014,2014,200,Organic Rankine Cycle,WASTE - Waste Heat,2015,,,,
AK,Yakutat,Hospital,Hospital,Hospitals,8062,62211,2014,2014,10,Reciprocating Engine,NG - Natural Gas,2015,,,X,
AK,Yakutat,"Yak-Tat Kwaan, Inc.",Yakutat Community Health Center- Kwaan Plaza,Hospitals,8011,621111,2014,2014,10,Microturbine,NG - Propane,2018,,,X,
AK,Yakutat,Ridge Road Community Center,Ridge Road Building,Commercial Buildings,6512,53112,2014,2014,5,Reciprocating Engine,NG - Propane,2018,,,,
AK,Akiak,Akiak City Council,Akiak,Utilities,4931,22112,2013,2013,860,Reciprocating Engine,OIL - Diesel,2013,,,,
AK,Alakanuk,Alaska Village Electric Cooperative,Alakanuk,Wastewater Treatment,4941,22131,2013,2013,800,Reciprocating Engine,OIL - Distillate Fuel Oil,2017,,,X,
AK,Anchorage,H2Oasis Indoor Water Park,H2Oasis Indoor Water Park,Amusement/Recreation,7991,713940,2013,2013,245,Microturbine,NG - Natural Gas,2016,,,,
AK,Buckland,City of Buckland,Buckland,Utilities,4931,221112,2013,2013,"1,125",Reciprocating Engine,OIL - Diesel,2014,,,,
