naics,naics_desc,total,blast_furnace,waste_gas,pet_coke,pulp_liq,wood_chips,waste_oils,region,n_naics
311,Food,12,0,6,0,0,5,1,us,3
3112,Grain and Oilseed Milling,6,0,1,0,0,4,1,us,4
311221,Wet Corn Milling,3,0,0.1,0,0,2,0,us,6
31131,Sugar Manufacturing,0.1,0,0.1,0,0,0,0,us,5
3114,Fruit and Vegetable Preserving and Specialty Food ,3,0,2,0,0,1,0.1,us,4
3115,Dairy Product,0.1,0,0.1,0,0,0,0,us,4
3116,Animal Slaughtering and Processing,3,0,2,0,0,0.9,0.1,us,4
312,Beverage and Tobacco Products,1,0,0.1,0,0,0.8,0.1,us,3
3121,  Beverages,1,0,0.1,0,0,0.8,0.1,us,4
3122,  Tobacco ,0,0,0,0,0,0,0,us,4
313,Textile Mills,0.1,0,0,0,0,0,0.1,us,3
314,Textile Product Mills,0.1,0,0.1,0,0,0,0,us,3
315,Apparel,0,0,0,0,0,0,0,us,3
316,Leather and Allied Products,0,0,0,0,0,0,0,us,3
321,Wood Products,241,0,0,0,0,235,6,us,3
321113,  Sawmills,91,0,0,0,0,90,1,us,6
3212,"  Veneer, Plywood, and Engineered Woods",101,0,0,0,0,96,5,us,4
321219,   Reconstituted Wood Products,57,0,0,0,0,52,5,us,6
3219,  Other Wood Products,15.1,0,0,0,0,15,0.1,us,4
322,Paper,1249,0,2.6,19.4,859,353,15,us,3
322110,  Pulp Mills,216,0,0.1,0.1,165,51,0.1,us,6
322121,"  Paper Mills, except Newsprint",410,0,1,6.5,285,115.5,2,us,6
322122,  Newsprint Mills,16,0,0,0,5,11,0,us,6
322130,  Paperboard Mills,603,0,1.5,12,401,175.5,13,us,6
323,Printing and Related Support,0.4,0,0,0,0,0.1,0.3,us,3
324,Petroleum and Coal Products,1920,15,1329,571,0,0.1,4,us,3
324110,  Petroleum Refineries,1874,0,1327,547,0,0,0,us,6
324121,   Asphalt Paving Mixture and Block,4,0,0.1,0,0,0,4,us,6
324122,   Asphalt Shingle and Coating Materials,0,0,0,0,0,0,0,us,6
324199,  Other Petroleum and Coal Products,41,15,2,24,0,0.1,0,us,6
325,Chemicals,381,6,364,0,0,5,6,us,3
325110,  Petrochemicals,140,0,140,0,0,0,0.1,us,6
325120,  Industrial Gases,0,0,0,0,0,0,0,us,6
325180,  Other Basic Inorganic Chemicals,45,6,39,0,0,0.1,0.1,us,6
325193,  Ethyl Alcohol ,1,0,1,0,0,0,0,us,6
325194,"  Cyclic Crudes, Intermediate and Gum and Wood Chemicals",3.2,0,0.1,0,0,3,0.1,us,6
325199,  Other Basic Organic Chemicals,133,0,130,0,0,0,3,us,6
325211,  Plastics Materials and Resins,52,0,50,0,0,0,2,us,6
325212,  Synthetic Rubber,0.1,0,0,0,0,0,0.1,us,6
325220,  Artificial and Synthetic Fibers and Filaments,0.1,0,0,0,0,0,0.1,us,6
325311,  Nitrogenous Fertilizers,3,0,1,0,0,1,0.5,us,6
325312,  Phosphatic Fertilizers,0,0,0,0,0,0,0,us,6
3254,  Pharmaceuticals and Medicines,0.1,0,0,0,0,0.1,0.1,us,4
325412,  Pharmaceutical Preparation,0.1,0,0,0,0,0,0.1,us,6
325992,"  Photographic Film, Paper, Plate, and Chemicals",0.1,0,0.1,0,0,0,0,us,6
326,Plastics and Rubber Products,5.8,0,0,0,0,5.7,0.1,us,3
327,Nonmetallic Mineral Products,61,0,0.1,50,0,4,7,us,3
327120,   Clay Building Material and Refractories,0.1,0,0,0,0,0.1,0.1,us,6
327211,  Flat Glass,0,0,0,0,0,0,0,us,6
327212,  Other Pressed and Blown Glass and Glassware,0,0,0,0,0,0,0,us,6
327213,  Glass Containers,0,0,0,0,0,0,0,us,6
327215,  Glass Products from Purchased Glass,0.1,0,0,0,0,0.05,0.05,us,6
327310,  Cements,43,0,0.1,32,0,3,7,us,6
327410,  Lime,18,0,0.1,17,0,0,0.1,us,6
327420, Gypsum,0,0,0,0,0,0,0,us,6
327993,  Mineral Wool,0.1,0,0,0,0,0.1,0,us,6
331,Primary Metals,248,234,4,5,0,4,0.1,us,3
331110,  Iron and Steel Mills and Ferroalloys,241,234,4,1,0,1,0.1,us,6
3312, Steel Products from Purchased Steel,0.1,0,0,0.1,0,0,0.1,us,4
3313, Alumina and Aluminum,3,0,0,3,0,0,0.1,us,4
331314,  Secondary Smelting and Alloying of Aluminum,0,0,0,0,0,0,0,us,6
331315,"  Aluminum Sheet, Plate and Foils",0,0,0,0,0,0,0,us,6
331318,"  Other Aluminum Rolling, Drawing and Extruding",0.1,0,0,0,0,0,0.1,us,6
3314," Nonferrous Metals, except Aluminum",4,0,0,0.1,0,3,0.1,us,4
331410,   Nonferrous Metal (except Aluminum) Smelting and Refining,4,0,0,0.1,0,3,0.1,us,6
3315, Foundries,0.1,0,0.1,0,0,0,0,us,4
331511,   Iron Foundries,0,0,0,0,0,0,0,us,6
331523,   Nonferrous Metal Die-Casting Foundries,0,0,0,0,0,0,0,us,6
331524,"  Aluminum Foundries, except Die-Casting",0,0,0,0,0,0,0,us,6
332,Fabricated Metal Products,0.1,0,0,0.1,0,0,0,us,3
333,Machinery,1.1,0,1,0,0,0,0.1,us,3
334,Computer and Electronic Products,0.1,0,0,0,0,0.1,0,us,3
334413,  Semiconductors and Related Devices,0,0,0,0,0,0,0,us,6
335,"Electrical Equip., Appliances, and Components",0.1,0,0.1,0,0,0,0.1,us,3
336,Transportation Equipment,4,0,4,0,0,0,0.1,us,3
336111,Automobiles,0.1,0,0.1,0,0,0,0,us,6
336112,  Light Trucks and Utility Vehicles,1,0,1,0,0,0,0,us,6
3364,Aerospace Product and Parts,2,0,2,0,0,0,0,us,4
336411,Aircraft,0,0,0,0,0,0,0,us,6
337,Furniture and Related Products,4,0,0,0,0,2,2,us,3
339,Miscellaneous,0,0,0,0,0,0,0,us,3
31-33,Total,4123,255,1711,647,859,610,42,us,2
311,Food,0.1,0,0.1,0,0,0.1,0.1,northeast,3
3112,Grain and Oilseed Milling,0,0,0,0,0,0,0,northeast,4
311221,Wet Corn Milling,0,0,0,0,0,0,0,northeast,6
31131,Sugar Manufacturing,0,0,0,0,0,0,0,northeast,5
3114,Fruit and Vegetable Preserving and Specialty Food ,0.1,0,0.1,0,0,0.1,0.1,northeast,4
3115,Dairy Product,0.1,0,0.1,0,0,0,0,northeast,4
3116,Animal Slaughtering and Processing,0.1,0,0.1,0,0,0,0,northeast,4
312,Beverage and Tobacco Products,0.1,0,0.1,0,0,0,0,northeast,3
3121,  Beverages,0.1,0,0.1,0,0,0,0,northeast,4
3122,  Tobacco ,0,0,0,0,0,0,0,northeast,4
313,Textile Mills,0,0,0,0,0,0,0,northeast,3
314,Textile Product Mills,0,0,0,0,0,0,0,northeast,3
315,Apparel,0,0,0,0,0,0,0,northeast,3
316,Leather and Allied Products,0,0,0,0,0,0,0,northeast,3
321,Wood Products,48,0,0,0,0,43,4,northeast,3
321113,  Sawmills,3,0,0,0,0,3,0.1,northeast,6
3212,"  Veneer, Plywood, and Engineered Woods",39,0,0,0,0,34,4,northeast,4
321219,   Reconstituted Wood Products,24,0,0,0,0,20,4,northeast,6
3219,  Other Wood Products,6,0,0,0,0,6,0,northeast,4
322,Paper,97,0,0.1,4,61,30,2,northeast,3
322110,  Pulp Mills,10,0,0,0,8,2,0,northeast,6
322121,"  Paper Mills, except Newsprint",82,0,0.1,4,50,27,2,northeast,6
322122,  Newsprint Mills,0,0,0,0,0,0,0,northeast,6
322130,  Paperboard Mills,0,0,0,0,0,0,0,northeast,6
323,Printing and Related Support,0,0,0,0,0,0,0,northeast,3
324,Petroleum and Coal Products,111,0,67,43,0,0,0.1,northeast,3
324110,  Petroleum Refineries,111,0,67,43,0,0,0,northeast,6
324121,   Asphalt Paving Mixture and Block,0.1,0,0,0,0,0,0.1,northeast,6
324122,   Asphalt Shingle and Coating Materials,0,0,0,0,0,0,0,northeast,6
324199,  Other Petroleum and Coal Products,0.1,0,0.1,0,0,0,0,northeast,6
325,Chemicals,2,0,0.5,0,0,1,0.5,northeast,3
325110,  Petrochemicals,0,0,0,0,0,0,0,northeast,6
325120,  Industrial Gases,0,0,0,0,0,0,0,northeast,6
325180,  Other Basic Inorganic Chemicals,0,0,0,0,0,0,0,northeast,6
325193,  Ethyl Alcohol ,0,0,0,0,0,0,0,northeast,6
325194,"  Cyclic Crudes, Intermediate and Gum and Wood Chemicals",0,0,0,0,0,0,0,northeast,6
325199,  Other Basic Organic Chemicals,0.2,0,0.1,0,0,0,0.1,northeast,6
325211,  Plastics Materials and Resins,0.1,0,0.1,0,0,0,0.1,northeast,6
325212,  Synthetic Rubber,0,0,0,0,0,0,0,northeast,6
325220,  Artificial and Synthetic Fibers and Filaments,0.1,0,0,0,0,0,0.1,northeast,6
325311,  Nitrogenous Fertilizers,1,0,0,0,0,1,0.1,northeast,6
325312,  Phosphatic Fertilizers,0,0,0,0,0,0,0,northeast,6
3254,  Pharmaceuticals and Medicines,0,0,0,0,0,0,0,northeast,4
325412,  Pharmaceutical Preparation,0,0,0,0,0,0,0,northeast,6
325992,"  Photographic Film, Paper, Plate, and Chemicals",0,0,0,0,0,0,0,northeast,6
326,Plastics and Rubber Products,0,0,0,0,0,0,0,northeast,3
327,Nonmetallic Mineral Products,3,0,0.1,3,0,0,0,northeast,3
327120,   Clay Building Material and Refractories,0,0,0,0,0,0,0,northeast,6
327211,  Flat Glass,0,0,0,0,0,0,0,northeast,6
327212,  Other Pressed and Blown Glass and Glassware,0,0,0,0,0,0,0,northeast,6
327213,  Glass Containers,0,0,0,0,0,0,0,northeast,6
327215,  Glass Products from Purchased Glass,0,0,0,0,0,0,0,northeast,6
327310,  Cements,3,0,0,3,0,0,0,northeast,6
