gid,STATEFP,lat,lon,STUSPS,config,state_name,county_name,gid_dist,COUNTYFP,FIPS,GID,FIPS,GHI (kWh/m2),Annual PV Yield (kWH/kWp),PV Yield Jan (kWh/kWp),MMBTU (Annual),MMBTU (Jan),Required PV  (kWp),Required Land (m2),Calc. COP,County Size (km2),Land use (%),
76140,4,33.21523492,-109.2401282,AZ,sam_config,Arizona,Greenlee,1941.462966,11,4011,0,0,0,0,0,0,0,0,0,0,0,0,
794020,5,33.55803127,-92.50304687,AR,sam_config,Arkansas,Calhoun,1357.317999,13,5013,0,0,0,0,0,0,0,0,0,0,0,0,
790079,5,33.96980985,-92.65444705,AR,sam_config,Arkansas,Dallas,513.6225833,39,5039,0,0,0,0,0,0,0,0,0,0,0,0,
831049,5,34.78065179,-90.78212191,AR,sam_config,Arkansas,Lee,1197.528312,77,5077,0,0,0,0,0,0,0,0,0,0,0,0,
821445,5,34.67784528,-91.20390435,AR,sam_config,Arkansas,Monroe,1998.416571,95,5095,0,0,0,0,0,0,0,0,0,0,0,0,
784587,5,34.94736989,-92.93144274,AR,sam_config,Arkansas,Perry,2079.543294,105,5105,0,0,0,0,0,0,0,0,0,0,0,0,
814090,5,34.82979854,-91.55279743,AR,sam_config,Arkansas,Prairie,2488.964887,117,5117,0,0,0,0,0,0,0,0,0,0,0,0,
132148,6,38.59719677,-119.8206697,CA,sam_config,California,Alpine,1422.457203,3,6003,0,0,0,0,0,0,0,0,0,0,0,0,
157132,6,40.6735891,-120.5943154,CA,sam_config,California,Lassen,2187.625809,35,6035,0,0,0,0,0,0,0,0,0,0,0,0,
167800,6,41.58981656,-120.7250156,CA,sam_config,California,Modoc,2530.925625,49,6049,0,0,0,0,0,0,0,0,0,0,0,0,
143516,6,39.5803262,-120.5159952,CA,sam_config,California,Sierra,1789.741756,91,6091,0,0,0,0,0,0,0,0,0,0,0,0,
546745,8,37.31919023,-102.5603746,CO,sam_config,Colorado,Baca,2113.037322,9,8009,0,0,0,0,0,0,0,0,0,0,0,0,
534750,8,37.95507595,-103.0717097,CO,sam_config,Colorado,Bent,1950.096532,11,8011,0,0,0,0,0,0,0,0,0,0,0,0,
546262,8,38.82795187,-102.603508,CO,sam_config,Colorado,Cheyenne,2454.174379,17,8017,0,0,0,0,0,0,0,0,0,0,0,0,
117518,8,37.27812432,-105.4282354,CO,sam_config,Colorado,Costilla,1506.808236,23,8023,0,0,0,0,0,0,0,0,0,0,0,0,
515205,8,38.32658633,-103.7844708,CO,sam_config,Colorado,Crowley,544.4357355,25,8025,0,0,0,0,0,0,0,0,0,0,0,0,
122775,8,37.75171176,-108.5174003,CO,sam_config,Colorado,Dolores,2543.850449,33,8033,0,0,0,0,0,0,0,0,0,0,0,0,
123260,8,37.8212848,-107.3003019,CO,sam_config,Colorado,Hinsdale,1252.816144,53,8053,0,0,0,0,0,0,0,0,0,0,0,0,
484271,8,37.68467851,-104.9606113,CO,sam_config,Colorado,Huerfano,1809.280638,55,8055,0,0,0,0,0,0,0,0,0,0,0,0,
542820,8,38.43266867,-102.7402903,CO,sam_config,Colorado,Kiowa,1924.028193,61,8061,0,0,0,0,0,0,0,0,0,0,0,0,
523101,8,38.98808785,-103.5139431,CO,sam_config,Colorado,Lincoln,2343.478322,73,8073,0,0,0,0,0,0,0,0,0,0,0,0,
121468,8,37.66894229,-106.9241219,CO,sam_config,Colorado,Mineral,2526.460561,79,8079,0,0,0,0,0,0,0,0,0,0,0,0,
953434,12,30.40602254,-85.19719429,FL,sam_config,Florida,Calhoun,1710.011997,13,12013,0,0,0,0,0,0,0,0,0,0,0,0,
995900,12,29.98550163,-83.18109169,FL,sam_config,Florida,Lafayette,1721.61496,67,12067,0,0,0,0,0,0,0,0,0,0,0,0,
959185,12,30.24137449,-84.88289858,FL,sam_config,Florida,Liberty,1903.558894,77,12077,0,0,0,0,0,0,0,0,0,0,0,0,
968657,13,31.32614478,-84.44471523,GA,sam_config,Georgia,Baker,1516.237771,7,13007,0,0,0,0,0,0,0,0,0,0,0,0,
1020357,13,31.19687588,-81.98190369,GA,sam_config,Georgia,Brantley,1466.376292,25,13025,0,0,0,0,0,0,0,0,0,0,0,0,
1016989,13,30.78172967,-82.13793184,GA,sam_config,Georgia,Charlton,1315.401002,49,13049,0,0,0,0,0,0,0,0,0,0,0,0,
962079,13,32.34698433,-84.7870209,GA,sam_config,Georgia,Chattahoochee,1996.055257,53,13053,0,0,0,0,0,0,0,0,0,0,0,0,
957849,13,31.62623788,-84.98008739,GA,sam_config,Georgia,Clay,1800.477738,61,13061,0,0,0,0,0,0,0,0,0,0,0,0,
1007470,13,33.22928289,-82.61070062,GA,sam_config,Georgia,Glascock,2307.653196,125,13125,0,0,0,0,0,0,0,0,0,0,0,0,
997984,13,31.03787301,-83.06275656,GA,sam_config,Georgia,Lanier,1370.030078,173,13173,0,0,0,0,0,0,0,0,0,0,0,0,
1025643,13,31.7525552,-81.74569517,GA,sam_config,Georgia,Long,2008.163902,183,13183,0,0,0,0,0,0,0,0,0,0,0,0,
1032774,13,31.49665949,-81.40846876,GA,sam_config,Georgia,McIntosh,1321.173475,191,13191,0,0,0,0,0,0,0,0,0,0,0,0,
962554,13,31.16400523,-84.73078383,GA,sam_config,Georgia,Miller,1101.718847,201,13201,0,0,0,0,0,0,0,0,0,0,0,0,
956830,13,31.86734739,-85.01877003,GA,sam_config,Georgia,Quitman,1927.072135,239,13239,0,0,0,0,0,0,0,0,0,0,0,0,
959657,13,30.93878566,-84.86883881,GA,sam_config,Georgia,Seminole,1289.313766,253,13253,0,0,0,0,0,0,0,0,0,0,0,0,
1002293,13,33.56613476,-82.87877142,GA,sam_config,Georgia,Taliaferro,1794.873361,265,13265,0,0,0,0,0,0,0,0,0,0,0,0,
990921,13,32.66720049,-83.42707722,GA,sam_config,Georgia,Twiggs,2019.7473,289,13289,0,0,0,0,0,0,0,0,0,0,0,0,
1006872,13,33.40894817,-82.67675069,GA,sam_config,Georgia,Warren,1562.495878,301,13301,0,0,0,0,0,0,0,0,0,0,0,0,
1005241,13,32.11705424,-82.72458014,GA,sam_config,Georgia,Wheeler,2044.049159,309,13309,0,0,0,0,0,0,0,0,0,0,0,0,
191023,16,43.46332937,-114.8057674,ID,sam_config,Idaho,Camas,1876.166742,25,16025,0,0,0,0,0,0,0,0,0,0,0,0,
201275,16,44.2839185,-112.3512464,ID,sam_config,Idaho,Clark,1123.597137,33,16033,0,0,0,0,0,0,0,0,0,0,0,0,
889830,17,37.51821568,-88.26687347,IL,sam_config,Illinois,Hardin,1442.152515,69,17069,0,0,0,0,0,0,0,0,0,0,0,0,
882731,17,37.41269436,-88.56152357,IL,sam_config,Illinois,Pope,1662.826055,151,17151,0,0,0,0,0,0,0,0,0,0,0,0,
927372,18,38.29238157,-86.45172411,IN,sam_config,Indiana,Crawford,770.7619486,25,18025,0,0,0,0,0,0,0,0,0,0,0,0,
919877,18,38.70801366,-86.80307337,IN,sam_config,Indiana,Martin,2483.339942,101,18101,0,0,0,0,0,0,0,0,0,0,0,0,
621465,20,37.23551254,-99.82030399,KS,sam_config,Kansas,Clark,1608.076893,25,20025,0,0,0,0,0,0,0,0,0,0,0,0,
603100,20,39.78473751,-100.4599391,KS,sam_config,Kansas,Decatur,1636.319545,39,20039,0,0,0,0,0,0,0,0,0,0,0,0,
567683,20,38.48056391,-101.8060441,KS,sam_config,Kansas,Greeley,1606.194551,71,20071,0,0,0,0,0,0,0,0,0,0,0,0,
568012,20,37.999123,-101.7912406,KS,sam_config,Kansas,Hamilton,1559.554368,75,20075,0,0,0,0,0,0,0,0,0,0,0,0,
592867,20,37.56222283,-100.8711794,KS,sam_config,Kansas,Haskell,1311.702905,81,20081,0,0,0,0,0,0,0,0,0,0,0,0,
618598,20,38.08749317,-99.89792613,KS,sam_config,Kansas,Hodgeman,332.4530469,83,20083,0,0,0,0,0,0,0,0,0,0,0,0,
664198,20,39.78473319,-98.21833955,KS,sam_config,Kansas,Jewell,1642.004422,89,20089,0,0,0,0,0,0,0,0,0,0,0,0,
635158,20,37.55822974,-99.28607727,KS,sam_config,Kansas,Kiowa,1794.338775,97,20097,0,0,0,0,0,0,0,0,0,0,0,0,
603310,20,38.48133334,-100.4664251,KS,sam_config,Kansas,Lane,1113.462588,101,20101,0,0,0,0,0,0,0,0,0,0,0,0,
605964,20,37.23813195,-100.366251,KS,sam_config,Kansas,Meade,1795.276363,119,20119,0,0,0,0,0,0,0,0,0,0,0,0,
637581,20,38.18132473,-99.23672224,KS,sam_config,Kansas,Pawnee,1930.570087,145,20145,0,0,0,0,0,0,0,0,0,0,0,0,
567713,20,38.91668121,-101.763616,KS,sam_config,Kansas,Wallace,2050.586588,199,20199,0,0,0,0,0,0,0,0,0,0,0,0,
