,FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,SPENT_LIQUOR_CO2_EMISSIONS,SPENT_LIQUOR_CH4_EMISSIONS,UNIT_NAME,UNIT_TYPE,SPENT_LIQUOR_N2O_EMISSIONS,BIOMASS_CH4_EMISSIONS_FACTOR,BIOMASS_N2O_EMISSIONS_FACTOR
0,1000166,2016,KapStone Paper and Packaging Corp,599800.4,12.07,08-PU-012,Chemical Recovery Furnace,2.669,0.0019,0.00042
1,1000166,2016,KapStone Paper and Packaging Corp,,,09-PU-004,Pulp Mill Lime Kiln,,,
2,1000183,2016,Pixelle Specialty Solutions LLC,589023.6,11.94,B011,Chemical Recovery Furnace,2.639,0.0019,0.00042
3,1000183,2016,Pixelle Specialty Solutions LLC,,,P001,Pulp Mill Lime Kiln,,,
4,1000196,2016,International Paper - Pensacola Mill,,,Lime Kiln,Pulp Mill Lime Kiln,,,
5,1000196,2016,International Paper - Pensacola Mill,541012.2,10.89,#1 Recovery Boiler,Chemical Recovery Furnace,2.407,0.0019,0.00042
6,1000196,2016,International Paper - Pensacola Mill,530001.8,10.67,No. 2 Recovery Boiler,Chemical Recovery Furnace,2.358,0.0019,0.00042
7,1000228,2016,International Paper - New Bern Mill,774907.8,15.6,Recovery Furnace,Chemical Recovery Furnace,3.448,0.0019,0.00042
8,1000228,2016,International Paper - New Bern Mill,,,Lime Kiln,Pulp Mill Lime Kiln,,,
9,1000229,2016,Domtar Paper Company LLC - Plymouth,962027.7,19.36,No. 5 Recovery Furnace,Chemical Recovery Furnace,4.28,0.0019,0.00042
10,1000229,2016,Domtar Paper Company LLC - Plymouth,,,Lime Kiln,Pulp Mill Lime Kiln,,,
11,1000230,2016,Blue Ridge Paper Products LLC,,,Lime Kiln No.5,Pulp Mill Lime Kiln,,,
12,1000230,2016,Blue Ridge Paper Products LLC,532673,10.77,Recovery Furnace No.10,Chemical Recovery Furnace,2.38,0.0019,0.00042
13,1000230,2016,Blue Ridge Paper Products LLC,,,Lime Kiln No.4,Pulp Mill Lime Kiln,,,
14,1000230,2016,Blue Ridge Paper Products LLC,556040,11.24,Recovery Furnace No.11,Chemical Recovery Furnace,2.484,0.0019,0.00042
15,1000256,2016,"WestRock Virginia, Covington",,,No. 2 Lime Kiln REC047,Pulp Mill Lime Kiln,,,
16,1000256,2016,"WestRock Virginia, Covington",394744.4,7.99,No. 1 Recovery Furnace REC001,Chemical Recovery Furnace,1.767,0.0019,0.00042
17,1000256,2016,"WestRock Virginia, Covington",1017450.4,20.6,No. 2 Recovery Furnace REC010,Chemical Recovery Furnace,4.554,0.0019,0.00042
18,1000258,2016,International Paper-Franklin Mill,,,Lime Kiln 4,Pulp Mill Lime Kiln,,,
19,1000258,2016,International Paper-Franklin Mill,767367.9,15.44,Recovery Boiler 6,Chemical Recovery Furnace,3.414,0.0019,0.00042
20,1000262,2016,"WestRock Coated Board, LLC",533988.9,10.76,No 1. Recovery Furnace,Chemical Recovery Furnace,2.378,0.0019,0.00042
21,1000262,2016,"WestRock Coated Board, LLC",,,No. 1 Lime Kiln,Pulp Mill Lime Kiln,,,
22,1000262,2016,"WestRock Coated Board, LLC",,,No. 2 Lime Kiln,Pulp Mill Lime Kiln,,,
23,1000262,2016,"WestRock Coated Board, LLC",673472.7,13.57,No. 2 Recovery Furnace,Chemical Recovery Furnace,2.999,0.0019,0.00042
24,1000273,2016,"GP Big Island, LLC",71996.6,1.37,REC 13,Chemical Recovery Combustion Unit,.302,0.0019,0.00042
25,1000305,2016,Resolute Forest Product - Coosa Pines Operation,672777.8,13.54,Z003,Chemical Recovery Furnace,2.993,0.0019,0.00042
26,1000305,2016,Resolute Forest Product - Coosa Pines Operation,,,Z032,Pulp Mill Lime Kiln,,,
27,1000311,2016,Resolute Forest Products Calhoun Operation,,,Lime Kiln,Pulp Mill Lime Kiln,,,
28,1000311,2016,Resolute Forest Products Calhoun Operation,574576.5,11.62,No.3 Recovery Furnace,Chemical Recovery Furnace,2.57,0.0019,0.00042
29,1000319,2016,"WestRock CP, LLC - Florence Mill",,,LK1,Pulp Mill Lime Kiln,,,
30,1000319,2016,"WestRock CP, LLC - Florence Mill",648040.7,13.04,RF1,Chemical Recovery Furnace,2.883,0.0019,0.00042
31,1000319,2016,"WestRock CP, LLC - Florence Mill",,,LK2,Pulp Mill Lime Kiln,,,
32,1000324,2016,Marlboro Paper Mill,790912.5,15.92,Recovery Boiler,Chemical Recovery Furnace,3.519,0.0019,0.00042
33,1000324,2016,Marlboro Paper Mill,,,Lime Kiln,Pulp Mill Lime Kiln,,,
34,1000345,2016,"Foley Cellulose, LLC",366852.3,7.38,No. 2 Recovery Boiler,Chemical Recovery Furnace,1.632,0.0019,0.00042
35,1000345,2016,"Foley Cellulose, LLC",307551.8,6.19,No. 3 Recovery Boiler,Chemical Recovery Furnace,1.368,0.0019,0.00042
36,1000345,2016,"Foley Cellulose, LLC",420989.7,8.47,No. 4 Recovery Boiler,Chemical Recovery Furnace,1.873,0.0019,0.00042
37,1000345,2016,"Foley Cellulose, LLC",,,No. 4 Lime Kiln,Pulp Mill Lime Kiln,,,
