,FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,SPENT_LIQUOR_CO2_EMISSIONS,SPENT_LIQUOR_CH4_EMISSIONS,UNIT_NAME,UNIT_TYPE,SPENT_LIQUOR_N2O_EMISSIONS,BIOMASS_CH4_EMISSIONS_FACTOR,BIOMASS_N2O_EMISSIONS_FACTOR
0,1000166,2017,KapStone Paper and Packaging Corp,,,09-PU-004,Pulp Mill Lime Kiln,,,
1,1000166,2017,KapStone Paper and Packaging Corp,647675.3,13.04,08-PU-012,Chemical Recovery Furnace,2.882,0.0019,0.00042
2,1000183,2017,Pixelle Specialty Solutions LLC,,,P001,Pulp Mill Lime Kiln,,,
3,1000183,2017,Pixelle Specialty Solutions LLC,542036.1,10.98,B011,Chemical Recovery Furnace,2.428,0.0019,0.00042
4,1000196,2017,International Paper - Pensacola Mill,501430.4,10.09,No. 2 Recovery Boiler,Chemical Recovery Furnace,2.231,0.0019,0.00042
5,1000196,2017,International Paper - Pensacola Mill,493451.7,9.93,#1 Recovery Boiler,Chemical Recovery Furnace,2.195,0.0019,0.00042
6,1000196,2017,International Paper - Pensacola Mill,,,Lime Kiln,Pulp Mill Lime Kiln,,,
7,1000228,2017,International Paper - New Bern Mill,746222.7,15.02,Recovery Furnace,Chemical Recovery Furnace,3.32,0.0019,0.00042
8,1000228,2017,International Paper - New Bern Mill,,,Lime Kiln,Pulp Mill Lime Kiln,,,
9,1000229,2017,Domtar Paper Company LLC - Plymouth,,,Lime Kiln,Pulp Mill Lime Kiln,,,
10,1000229,2017,Domtar Paper Company LLC - Plymouth,1034916.6,20.83,No. 5 Recovery Furnace,Chemical Recovery Furnace,4.605,0.0019,0.00042
11,1000230,2017,Blue Ridge Paper Products LLC,516980,10.45,Recovery Furnace No.10,Chemical Recovery Furnace,2.31,0.0019,0.00042
12,1000230,2017,Blue Ridge Paper Products LLC,,,Lime Kiln No.5,Pulp Mill Lime Kiln,,,
13,1000230,2017,Blue Ridge Paper Products LLC,568798.6,11.5,Recovery Furnace No.11,Chemical Recovery Furnace,2.541,0.0019,0.00042
14,1000230,2017,Blue Ridge Paper Products LLC,,,Lime Kiln No.4,Pulp Mill Lime Kiln,,,
15,1000256,2017,"WestRock Virginia, Covington",,,No. 2 Lime Kiln REC047,Pulp Mill Lime Kiln,,,
16,1000256,2017,"WestRock Virginia, Covington",482870.7,9.78,No. 1 Recovery Furnace REC001,Chemical Recovery Furnace,2.161,0.0019,0.00042
17,1000256,2017,"WestRock Virginia, Covington",1030652.7,20.87,No. 2 Recovery Furnace REC010,Chemical Recovery Furnace,4.613,0.0019,0.00042
18,1000258,2017,International Paper-Franklin Mill,783877.7,15.78,Recovery Boiler 6,Chemical Recovery Furnace,3.488,0.0019,0.00042
19,1000258,2017,International Paper-Franklin Mill,,,Lime Kiln 4,Pulp Mill Lime Kiln,,,
20,1000262,2017,"WestRock Coated Board, LLC",,,No. 1 Lime Kiln,Pulp Mill Lime Kiln,,,
21,1000262,2017,"WestRock Coated Board, LLC",,,No. 2 Lime Kiln,Pulp Mill Lime Kiln,,,
22,1000262,2017,"WestRock Coated Board, LLC",710188.1,14.31,No. 2 Recovery Furnace,Chemical Recovery Furnace,3.163,0.0019,0.00042
23,1000262,2017,"WestRock Coated Board, LLC",507619.1,10.23,No 1. Recovery Furnace,Chemical Recovery Furnace,2.26,0.0019,0.00042
24,1000273,2017,"GP Big Island, LLC",72178.2,1.32,REC 13,Chemical Recovery Combustion Unit,.291,0.0019,0.00042
25,1000305,2017,Resolute Forest Product - Coosa Pines Operation,602868.8,12.13,Z003,Chemical Recovery Furnace,2.682,0.0019,0.00042
26,1000305,2017,Resolute Forest Product - Coosa Pines Operation,,,Z032,Pulp Mill Lime Kiln,,,
27,1000311,2017,Resolute Forest Products Calhoun Operation,,,Lime Kiln,Pulp Mill Lime Kiln,,,
28,1000311,2017,Resolute Forest Products Calhoun Operation,602300,12.19,No.3 Recovery Furnace,Chemical Recovery Furnace,2.694,0.0019,0.00042
29,1000319,2017,"WestRock CP, LLC - Florence Mill",,,LK1,Pulp Mill Lime Kiln,,,
30,1000319,2017,"WestRock CP, LLC - Florence Mill",,,LK2,Pulp Mill Lime Kiln,,,
31,1000319,2017,"WestRock CP, LLC - Florence Mill",657535.8,13.23,RF1,Chemical Recovery Furnace,2.925,0.0019,0.00042
32,1000324,2017,Marlboro Paper Mill,,,Lime Kiln,Pulp Mill Lime Kiln,,,
33,1000324,2017,Marlboro Paper Mill,736454.5,14.82,Recovery Boiler,Chemical Recovery Furnace,3.277,0.0019,0.00042
34,1000345,2017,"Foley Cellulose, LLC",,,No. 4 Lime Kiln,Pulp Mill Lime Kiln,,,
35,1000345,2017,"Foley Cellulose, LLC",384484.4,7.74,No. 4 Recovery Boiler,Chemical Recovery Furnace,1.711,0.0019,0.00042
36,1000345,2017,"Foley Cellulose, LLC",307394.3,6.19,No. 3 Recovery Boiler,Chemical Recovery Furnace,1.368,0.0019,0.00042
37,1000345,2017,"Foley Cellulose, LLC",339518.7,6.83,No. 2 Recovery Boiler,Chemical Recovery Furnace,1.511,0.0019,0.00042
38,1000348,2017,Resolute FP US Inc. - Catawba Operations,,,07-2723,Pulp Mill Lime Kiln,,,
39,1000348,2017,Resolute FP US Inc. - Catawba Operations,336550.2,6.77,07-2505,Chemical Recovery Furnace,1.497,0.0019,0.00042
40,1000348,2017,Resolute FP US Inc. - Catawba Operations,624014.8,12.56,07-5105,Chemical Recovery Furnace,2.776,0.0019,0.00042
41,1000353,2017,Sonoco Products Co.,8773.2,.16,Chemical Recovery Kiln,Chemical Recovery Combustion Unit,.035,0.0019,0.00042
42,1000426,2017,KapStone Charleston Kraft LLC,604272.9,12.21,No. 9 Recovery Boiler/REC007,Chemical Recovery Furnace,2.699,0.0019,0.00042
43,1000426,2017,KapStone Charleston Kraft LLC,754123.6,15.23,No. 1 Recovery Boiler/REC004,Chemical Recovery Furnace,3.368,0.0019,0.00042
44,1000426,2017,KapStone Charleston Kraft LLC,,,No. 5 Lime Kiln/CP002,Pulp Mill Lime Kiln,,,
45,1000426,2017,KapStone Charleston Kraft LLC,,,No. 4 Lime Kiln/CP001,Pulp Mill Lime Kiln,,,
46,1000434,2017,International Paper - Vicksburg Mill,568360.9,11.47,RB1 (AA005),Chemical Recovery Furnace,2.535,0.0019,0.00042
47,1000434,2017,International Paper - Vicksburg Mill,,,LK1 (AA003),Pulp Mill Lime Kiln,,,
48,1000593,2017,VERSO ANDROSCOGGIN LLC,8895.5,.18,Recovery Boiler 1,Chemical Recovery Furnace,.04,0.0019,0.00042
49,1000593,2017,VERSO ANDROSCOGGIN LLC,,,B Lime Kiln,Pulp Mill Lime Kiln,,,
50,1000593,2017,VERSO ANDROSCOGGIN LLC,371059.4,7.5,Recovery Boiler 2,Chemical Recovery Furnace,1.658,0.0019,0.00042
51,1000593,2017,VERSO ANDROSCOGGIN LLC,,,A Lime Kiln,Pulp Mill Lime Kiln,,,
52,1000602,2017,"GRAPHIC PACKAGING INTERNATIONAL LLC, West Monroe Mill Plant 31",453270.1,9.12,No. 4 Recovery Boiler (L03004/L03005),Chemical Recovery Furnace,2.017,0.0019,0.00042
53,1000602,2017,"GRAPHIC PACKAGING INTERNATIONAL LLC, West Monroe Mill Plant 31",369072.4,7.43,No. 5 Recovery Boiler (L03007/L03008),Chemical Recovery Furnace,1.642,0.0019,0.00042
54,1000602,2017,"GRAPHIC PACKAGING INTERNATIONAL LLC, West Monroe Mill Plant 31",,,No. 1 Lime Kiln (L04002),Pulp Mill Lime Kiln,,,
55,1000602,2017,"GRAPHIC PACKAGING INTERNATIONAL LLC, West Monroe Mill Plant 31",,,No. 2 Lime Kiln (L04003),Pulp Mill Lime Kiln,,,
56,1000624,2017,WestRock Tacoma Mill,,,Lime kiln #1,Pulp Mill Lime Kiln,,,
57,1000624,2017,WestRock Tacoma Mill,,,Lime kiln #2,Pulp Mill Lime Kiln,,,
58,1000624,2017,WestRock Tacoma Mill,639474.5,12.87,Recovery Boiler #4,Chemical Recovery Furnace,2.845,0.0019,0.00042
59,1000961,2017,DOMTAR PAPER CO LLC HAWESVILLE MILL,373673.8,7.58,No. 3 Recovery Furnace,Chemical Recovery Furnace,1.675,0.0019,0.00042
60,1000961,2017,DOMTAR PAPER CO LLC HAWESVILLE MILL,,,No. 3 Lime Kiln,Pulp Mill Lime Kiln,,,
61,1000961,2017,DOMTAR PAPER CO LLC HAWESVILLE MILL,600496.6,12.18,No. 4 Recovery Furnace,Chemical Recovery Furnace,2.692,0.0019,0.00042
62,1001237,2017,Verso Luke LLC,577944.1,11.7,Recovery Boiler #3,Chemical Recovery Furnace,2.586,0.0019,0.00042
63,1001237,2017,Verso Luke LLC,,,Lime Kiln,Pulp Mill Lime Kiln,,,
64,1001237,2017,Verso Luke LLC,0,0,Recovery Boiler #2,Chemical Recovery Furnace,0,0.0019,0.00042
65,1001733,2017,International Paper - Red River Mill,,,LK (1224-06-06),Pulp Mill Lime Kiln,,,
66,1001733,2017,International Paper - Red River Mill,618160.4,12.44,RB3 (NA-41-41),Chemical Recovery Furnace,2.75,0.0019,0.00042
67,1001807,2017,"RAYONIER PERFORMANCE FIBERS LLC, JESUP MILL",1077702.2,21.77,No. 6 Recovery Furnace,Chemical Recovery Furnace,4.812,0.0019,0.00042
68,1001807,2017,"RAYONIER PERFORMANCE FIBERS LLC, JESUP MILL",,,D Lime Kiln,Pulp Mill Lime Kiln,,,
69,1001807,2017,"RAYONIER PERFORMANCE FIBERS LLC, JESUP MILL",611828.9,12.36,No. 5 Recovery Furnace,Chemical Recovery Furnace,2.732,0.0019,0.00042
70,1001889,2017,WOODLAND PULP LLC,984757,19.97,Unit 02,Chemical Recovery Furnace,4.414,0.0019,0.00042
71,1001889,2017,WOODLAND PULP LLC,,,Unit 15,Pulp Mill Lime Kiln,,,
72,1001892,2017,"Verso Quinnesec, LLC",743396.4,15.07,Recovery Boiler,Chemical Recovery Furnace,3.332,0.0019,0.00042
73,1001892,2017,"Verso Quinnesec, LLC",,,Lime Kiln,Pulp Mill Lime Kiln,,,
74,1001906,2017,RAYONIER PERFORMANCE FIBERS LLC Fernandina Mill,368186.2,8,Recovery Boiler,Chemical Recovery Combustion Unit,1.767,0.0019,0.00042
75,1001995,2017,SAPPI CLOQUET LLC,,,EU 033,Pulp Mill Lime Kiln,,,
76,1001995,2017,SAPPI CLOQUET LLC,899560.1,18.24,EU 005,Chemical Recovery Furnace,4.032,0.0019,0.00042
77,1002098,2017,GREEN BAY PACKAGING/ARK KRAFT,393624.5,7.92,Unit 1 (#2 Recovery Boiler SN-05A),Chemical Recovery Furnace,1.751,0.0019,0.00042
78,1002098,2017,GREEN BAY PACKAGING/ARK KRAFT,,,Unit 2 (#2 Lime Kiln  SN-08),Pulp Mill Lime Kiln,,,
79,1002113,2017,International Paper - Pine Hill Mill,847194,17.09,RB1,Chemical Recovery Furnace,3.778,0.0019,0.00042
80,1002113,2017,International Paper - Pine Hill Mill,,,LK1,Pulp Mill Lime Kiln,,,
81,1002149,2017,International Paper - Springfield Mill,,,"Lime Kilns, Combined, EU 455",Pulp Mill Lime Kiln,,,
