,carbon_content,carbon_content_uom,facility_id,facility_name,fuel_combusted,fuel_combusted_uom,fuel_type,high_heat_value,high_heat_value_uom,molecular_weight,molecular_weight_uom,month,reporting_year,unit_name
0,0.5537,"percent by weight, expressed as a decimal fraction",1006412,AMALGAMATED SUGAR CO LLC,93,short tons/month,Subbituminous,,,,,April,2014,GP-01
1,0.5537,"percent by weight, expressed as a decimal fraction",1006412,AMALGAMATED SUGAR CO LLC,4999,short tons/month,Subbituminous,,,,,April,2014,SB-1
2,0.74,"percent by weight, expressed as a decimal fraction",1001921,MEDICAL CENTER COMPANY,4296.455,short tons/month,Bituminous,,,,,April,2014,GP-Coal_Boilers
3,0.6556,"percent by weight, expressed as a decimal fraction",1006412,AMALGAMATED SUGAR CO LLC,0,short tons/month,Bituminous,,,,,April,2014,SB-1
4,0,"percent by weight, expressed as a decimal fraction",1001921,MEDICAL CENTER COMPANY,0,short tons/month,Bituminous,,,,,August,2014,GP-Coal_Boilers
5,0.5537,"percent by weight, expressed as a decimal fraction",1006412,AMALGAMATED SUGAR CO LLC,0,short tons/month,Subbituminous,,,,,August,2014,GP-01
6,0.5537,"percent by weight, expressed as a decimal fraction",1006412,AMALGAMATED SUGAR CO LLC,0,short tons/month,Subbituminous,,,,,August,2014,SB-1
7,0.6556,"percent by weight, expressed as a decimal fraction",1006412,AMALGAMATED SUGAR CO LLC,0,short tons/month,Bituminous,,,,,August,2014,SB-1
8,0.5537,"percent by weight, expressed as a decimal fraction",1006412,AMALGAMATED SUGAR CO LLC,5346,short tons/month,Subbituminous,,,,,December,2014,SB-1
9,0.73,"percent by weight, expressed as a decimal fraction",1001921,MEDICAL CENTER COMPANY,5630.941,short tons/month,Bituminous,,,,,December,2014,GP-Coal_Boilers
10,0.5537,"percent by weight, expressed as a decimal fraction",1006412,AMALGAMATED SUGAR CO LLC,5416,short tons/month,Subbituminous,,,,,December,2014,GP-01
11,0.6556,"percent by weight, expressed as a decimal fraction",1006412,AMALGAMATED SUGAR CO LLC,1782,short tons/month,Bituminous,,,,,December,2014,SB-1
12,0.6556,"percent by weight, expressed as a decimal fraction",1006412,AMALGAMATED SUGAR CO LLC,0,short tons/month,Bituminous,,,,,February,2014,SB-1
