,TIER_3_OPERATING_HOURS_SUB,FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,UNIT_NAME,FUEL_TYPE,FUEL_TYPE_BLEND,TIER_1_METHOD_EQUATION,TIER_1_START_DATE,TIER_1_END_DATE,TIER_1_CO2_EMISSIONS,TIER_1_CH4_EMISSIONS,TIER_1_N2O_EMISSIONS,TIER_1_CH4_EMISSIONS_CO2E,TIER_1_N2O_EMISSIONS_CO2E,TIER_2_METHOD_EQUATION,TIER_2_START_DATE,TIER_2_END_DATE,TIER_2_HHV_DETERMIN_FREQUENCY,TIER2_HHV_DETERMIN_FREQ_OTH,TIER_2_CO2_EMISSIONS,TIER_2_CH4_EMISSIONS,TIER_2_N2O_EMISSIONS,TIER_2_CH4_EMISSIONS_CO2E,TIER_2_N2O_EMISSIONS_CO2E,TIER_3_METHOD_EQUATION,TIER_3_START_DATE,TIER_3_END_DATE,TIER3_CARBON_DETERMIN_FREQUENC,TIER3_CARBON_DETERMIN_NUM_SUB,TIER3_CARBON_DETERMIN_NUM_VALI,TIER3_MOL_DETERMIN_FREQ,TIER3_MOL_DETERMIN_FREQ_OTHER,TIER3_MOL_DETERMIN_NUMBER,TIER3_MOL_DETERMIN_NUM_VALID,TIER_3_CO2_EMISSIONS,TIER_3_CH4_EMISSIONS,TIER_3_N2O_EMISSIONS,TIER_3_CH4_EMISSIONS_CO2E,TIER_3_N2O_EMISSIONS_CO2E,PCT_HEAT_INPUT_COMBUSTED,PCT_HEAT_INPUT_COMBUSTED_IND,PCT_HEAT_INPUT_COMBUSTED_SUB
0,Hours,1000324,2011,Marlboro Paper Mill,Recovery Boiler,Propane,,,,,,,,,,,,,,,,,,,,Tier 3 (Equation C-5,2011-01-01-00:0,2011-12-31-00:0,Other (specify),0,1,Other (specify),annual,,1,18.9,0,0,0,0,,,
1,,1000324,2011,Marlboro Paper Mill,Lime Kiln,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Daily,,27306.9,1.32,0,27.7,0,,,,,,,,,,,,,,,,,,
2,,1000324,2011,Marlboro Paper Mill,Lime Kiln,Petroleum Coke,,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Other (specify),per shipment,15200.2,.45,.089,9.4,27.6,,,,,,,,,,,,,,,,,,
3,,1000324,2011,Marlboro Paper Mill,Recovery Boiler,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Daily,,538.3,.01,.001,.2,.3,,,,,,,,,,,,,,,,,,
4,,1000593,2011,VERSO ANDROSCOGGIN LLC,Recovery Boiler 2,Distillate Fuel Oil No. 2,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,43,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,1000593,2011,VERSO ANDROSCOGGIN LLC,Recovery Boiler 2,Used Oil,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,9762,.4,.079,8.4,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,1000593,2011,VERSO ANDROSCOGGIN LLC,B Lime Kiln,Used Oil,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,37552,1.4,0,29.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,1000593,2011,VERSO ANDROSCOGGIN LLC,B Lime Kiln,Propane,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,1000593,2011,VERSO ANDROSCOGGIN LLC,A Lime Kiln,Used Oil,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,37076,1.4,0,29.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,1000593,2011,VERSO ANDROSCOGGIN LLC,A Lime Kiln,Propane,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,1000593,2011,VERSO ANDROSCOGGIN LLC,Recovery Boiler 1,Distillate Fuel Oil No. 2,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,158,.01,.001,.1,.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,1000593,2011,VERSO ANDROSCOGGIN LLC,Recovery Boiler 1,Used Oil,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,2871,.12,.023,2.4,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,1002305,2011,"WESTROCK TEXAS, L.P.",No. 7 Lime Kiln,Natural Gas (Weighted U.S. Average),,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,55547.7,2.83,0,59.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,1002305,2011,"WESTROCK TEXAS, L.P.",No. 1 Lime Kiln,Natural Gas (Weighted U.S. Average),,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,13064.1,.67,0,14.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,1002305,2011,"WESTROCK TEXAS, L.P.",No. 3 Recovery Boiler,Natural Gas (Weighted U.S. Average),,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,2935.6,.06,.006,1.3,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,1002305,2011,"WESTROCK TEXAS, L.P.",No. 4 Recovery Boiler,Natural Gas (Weighted U.S. Average),,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,1088,.02,.002,.4,.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,1002113,2011,International Paper - Pine Hill Mill,LK1,Coke,,Tier 1 (Equation C-1),2011-01-01-00:0,2011-12-31-00:0,17309.7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,1002113,2011,International Paper - Pine Hill Mill,LK1,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Monthly,,22509.2,1.15,0,24.2,0,,,,,,,,,,,,,,,,,,
18,,1002113,2011,International Paper - Pine Hill Mill,RB1,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Monthly,,6850.3,.13,.013,2.7,4,,,,,,,,,,,,,,,,,,
19,,1002113,2011,International Paper - Pine Hill Mill,RB1,Residual Fuel Oil No. 6,,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Once per fuel lot,,2758.1,.11,.022,2.3,6.8,,,,,,,,,,,,,,,,,,
20,,1005998,2011,GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,4RF,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Monthly,,2727,.05,.005,1.1,1.6,,,,,,,,,,,,,,,,,,
21,,1005998,2011,GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,4LK,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2011-01-01-00:0,2011-12-31-00:0,Monthly,,24537,1.25,0,26.3,0,,,,,,,,,,,,,,,,,,
