SIC,SIC Title (and note),2002 NAICS,2002 NAICS Title
111,Wheat,111140,Wheat Farming
112,Rice ,111160,Rice Farming
115,Corn,111150,Corn Farming
116,Soybeans,111110,Soybean Farming 
119,"Cash Grains, NEC (oilseed farming, except soybeans)",111120,Oilseed (except Soybean) Farming
119,"Cash Grains, NEC (dry pea and bean farms)",111130,Dry Pea and Bean Farming
119,"Cash Grains, NEC (popcorn farming)",111150,Corn Farming
119,"Cash Grains, NEC (oilseed and grain combination farms)",111191,Oilseed and Grain Combination Farming
119,"Cash Grains, NEC (except popcorn, dry pea and bean, oilseed (except soybean), and oilseed and grain combination farms)",111199,All Other Grain Farming
131,Cotton,111920,Cotton Farming
132,Tobacco,111910,Tobacco Farming
133,Sugarcane and Sugar Beets (sugarcane farms),111930,Sugarcane Farming
133,Sugarcane and Sugar Beets (sugar beet farms),111991,Sugar Beet Farming
134,Irish Potatoes,111211,Potato Farming
139,"Field Crops, Except Cash Grains, NEC (broom corn farming)",111199,All Other Grain Farming
139,"Field Crops Except Cash Grains (sweet potatoes and yams), NEC",111219,Other Vegetable (except Potato) and Melon Farming
139,"Field Crops, Except Cash Grains, NEC (hay farms)",111940,Hay Farming
139,"Field Crops, Except Cash Grains, NEC (peanut farms)",111992,Peanut Farming
139,"Field Crops, Except Cash Grains, NEC (except peanut, sweet potato, broom corn, yam and hay farms)",111998,All Other Miscellaneous Crop Farming
161,Vegetables and Melons,111219,Other Vegetable (except Potato) and Melon Farming
171,Berry Crops (strawberry farms),111333,Strawberry Farming
171,Berry Crops ( except strawberry farms),111334,Berry (except Strawberry) Farming
172,Grapes,111332,Grape Vineyards
173,Tree Nuts,111335,Tree Nut Farming
174,Citrus Fruits (orange groves and farms),111310,Orange Groves
174,Citrus Fruits (except orange groves and farms),111320,Citrus (except Orange) Groves 
175,Deciduous Tree Fruits (apple orchards and farms),111331,Apple Orchards
175,Deciduous Tree Fruits (except apple orchards and farms),111339,Other Noncitrus Fruit Farming
179,"Fruits and Tree Nuts, NEC (combination farms)",111336,Fruit and Tree Nut Combination Farming
179,"Fruits and Tree Nuts, NEC (except combination farms) ",111339,Other Noncitrus Fruit Farming
181,Ornamental Floriculture and Nursery Products (nursery farming),111421,Nursery and Tree Production
181,Ornamental Floriculture and Nursery Products (floriculture farming),111422,Floriculture Production
182,Food Crops Grown Under Cover (growing mushrooms),111411,Mushroom Production
182,Food Crops Grown Under Cover (except growing mushrooms),111419,Other Food Crops Grown Under Cover
191,"General Farms, Primarily Crop",111998,All Other Miscellaneous Crop Farming
211,Beef Cattle Feedlots,112112,Cattle Feedlots
212,"Beef Cattle, Except Feedlots",112111,Beef Cattle Ranching and Farming
213,Hogs,112210,Hog and Pig Farming
214,Sheep and Goats (sheep farms),112410,Sheep Farming
214,Sheep and Goats (goat farms),112420,Goat Farming
219,"General Livestock, Except Dairy and Poultry",112990,All Other Animal Production
241,Dairy Farms (dairy heifer replacement farms),112111,Beef Cattle Ranching and Farming
241,Dairy Farms (except dairy heifer replacement farms) ,112120,Dairy Cattle and Milk Production
251,"Broiler, Fryer, and Roaster Chickens",112320,Broilers and Other Meat Type Chicken Production
252,Chicken Eggs,112310,Chicken Egg Production
253,Turkeys and Turkey Eggs,112330,Turkey Production
254,Poultry Hatcheries,112340,Poultry Hatcheries
259,"Poultry and Eggs, NEC",112390,Other Poultry Production
271,Fur-Bearing Animals and Rabbits,112930,Fur-Bearing Animal and Rabbit Production
272,Horses and Other Equines,112920,Horse and Other Equine Production
273,Animal Aquaculture (finfish farms),112511,Finfish Farming and Fish Hatcheries
273,Animal Aquaculture (shellfish farms),112512,Shellfish Farming
273,Animal Aquaculture (except finfish and shellfish farms),112519,Other Animal Aquaculture
279,"Animal Specialties, NEC (frog and alligator farms)",112519,Other Animal Aquaculture
279,"Animal Specialties, NEC (apiculture)",112910,Apiculture
279,"Animal Specialties, NEC (except apiculture, frog and alligator farms)",112990,All Other Animal Production
291,"General Farms, Primarily Livestock and Animal Specialties",112990,All Other Animal Production
711,Soil Preparation Services,115112,"Soil Preparation, Planting, and Cultivating"
721,"Crop Planting, Cultivating, and Protecting",115112,"Soil Preparation, Planting, and Cultivating"
722,"Crop Harvesting, Primarily by Machine",115113,"Crop Harvesting, Primarily by Machine"
723,"Crop Preparation Services for Market, Except Cotton Ginning (except custom grain grinding)",115114,Postharvest Crop Activities (except Cotton Ginning)
723,"Crop Preparation Services for Market, Except Cotton Ginning (custom grain grinding)",311119,Other Animal Food Manufacturing
724,Cotton Ginning,115111,Cotton Ginning
741,Veterinary Services for Livestock,541940,Veterinary Services
742,Veterinary Services for Animal Specialties,541940,Veterinary Services
751,"Livestock Services, Except Veterinary (except custom slaughtering)",115210,Support Activities for Animal Production
751,"Livestock Services, Except Veterinary (custom slaughtering)",311611,Animal (except Poultry) Slaughtering
752,"Animal Specialty Services, Except Veterinary (boarding and training horses (except race horses), animal semen banks, and artificial insemination services for pets)",115210,Support Activities for Animal Production
752,"Animal Specialty Services, Except Veterinary (pet care services, except veterinary)",812910,Pet Care (except Veterinary) Services
761,Farm Labor Contractors and Crew Leaders,115115,Farm Labor Contractors and Crew Leaders
762,Farm Management Services,115116,Farm Management Services
781,Landscape Counseling and Planning (except horticultural consulting),541320,Landscape Architectural Services
781,Landscape Counseling and Planning (horticulture consulting),541690,Other Scientific and Technical Consulting Services
782,Lawn and Garden Services,561730,Landscaping Services
783,Ornamental Shrub and Tree Services,561730,Landscaping Services
811,Timber Tracts (short rotation woody crops),111421,Nursery and Tree Production
811,Timber Tracts (long term timber farms),113110,Timber Tract Operations
831,Forest Nurseries and Gathering of Forest Products (gathering maple sap),111998,All Other Miscellaneous Crop Farming
831,"Forest Nurseries and Gathering of Forest Products (forest products, except gathering of maple sap)",113210,Forest Nurseries and Gathering of Forest Products
851,Forestry Services,115310,Support Activities for Forestry
912,Finfish,114111,Finfish Fishing
913,Shellfish,114112,Shellfish Fishing
919,Miscellaneous Marine Products (plant aquaculture),111998,All Other Miscellaneous Crop Farming
919,Miscellaneous Marine Products (cultured pearl production),112512,Shellfish Farming
919,Miscellaneous Marine Products (catching sea urchins),114112,Shellfish Fishing
919,"Miscellaneous Marine Products (except plant aquaculture, cultured pearl production, and catching sea urchins)",114119,Other Marine Fishing
921,Fish Hatcheries and Preserves (finfish hatcheries),112511,Finfish Farming and Fish Hatcheries
921,Fish Hatcheries and Preserves (shellfish hatcheries),112512,Shellfish Farming
971,"Hunting and Trapping, and Game Propagation",114210,Hunting and Trapping
1011,Iron Ores,212210,Iron Ore Mining
1021,Copper Ores,212234,Copper Ore and Nickel Ore Mining
1031,Lead and Zinc Ores,212231,Lead Ore and Zinc Ore Mining
1041,Gold Ores,212221,Gold Ore Mining
1044,Silver Ores,212222,Silver Ore Mining
1061,"Ferroalloy Ores, Except Vanadium (nickel)",212234,Copper Ore and Nickel Ore Mining
1061,"Ferroalloy Ores, Except Vanadium (other ferroalloys except nickel)",212299,All Other Metal Ore Mining
1081,Metal Mining Services (except site preparation and related activities performed on a contract or fee basis and geophysical surveying and mapping),213114,Support Activities for Metal Mining
1081,Metal Mining Services (site preparation and related construction activities on a contract basis),238910,Site Preparation Contractors
1081,Metal Mining Services (geophysical surveying and mapping),541360,Geophysical Surveying and Mapping Services
1094,Uranium-Radium-Vanadium Ores,212291,Uranium-Radium-Vanadium Ore Mining
1099,"Miscellaneous Metal Ores, NEC",212299,All Other Metal Ore Mining
1221,Bituminous Coal and Lignite Surface Mining,212111,Bituminous Coal and Lignite Surface Mining
1222,Bituminous Coal Underground Mining,212112,Bituminous Coal Underground Mining
1231,Anthracite Mining,212113,Anthracite Mining
1241,Coal Mining Services (except site preparation and related construction activities on a contract basis),213113,Support Activities for Coal Mining
1241,Coal Mining Services (site preparation and related construction activities on a contract basis),238910,Site Preparation Contractors
1311,Crude Petroleum and Natural Gas,211111,Crude Petroleum and Natural Gas Extraction
1321,Natural Gas Liquids,211112,Natural Gas Liquid Extraction
1381,Drilling Oil and Gas Wells,213111,Drilling Oil and Gas Wells
1382,Oil and Gas Field Exploration Services (except geophysical mapping and surveying),213112,Support Activities for Oil and Gas Operations
1382,Oil and Gas Field Exploration Services (geophysical surveying and mapping),541360,Geophysical Surveying and Mapping Services
1389,"Oil and Gas Field Services, NEC (except construction of field gathering lines, site preparation and related construction activities performed on a contract or fee basis)",213112,Support Activities for Oil and Gas Operations
1389,"Oil and Gas Field Services, NEC (construction of field gathering lines on a contract or fee basis)",237120,Oil and Gas Pipeline and Related Structures Construction
1389,"Oil and Gas Field Services, NEC (site preparation and related construction activities on a contract basis)",238910,Site Preparation Contractors
1411,Dimension Stone,212311,Dimension Stone Mining and Quarrying
1422,Crushed and Broken Limestone,212312,Crushed and Broken Limestone Mining and Quarrying
1423,Crushed and Broken Granite,212313,Crushed and Broken Granite Mining and Quarrying
1429,"Crushed and Broken Stone, NEC",212319,Other Crushed and Broken Stone Mining and Quarrying
1442,Construction Sand and Gravel,212321,Construction Sand and Gravel Mining
1446,Industrial Sand,212322,Industrial Sand Mining
1455,Kaolin and Ball Clay,212324,Kaolin and Ball Clay Mining
1459,"Clay, Ceramic, and Refractory Minerals, NEC",212325,Clay and Ceramic and Refractory Minerals Mining
1474,"Potash, Soda, and Borate Minerals",212391,"Potash, Soda, and Borate Mineral Mining"
1475,Phosphate Rock,212392,Phosphate Rock Mining
1479,"Chemical and Fertilizer Mineral Mining, NEC",212393,Other Chemical and Fertilizer Mineral Mining
1481,"Nonmetallic Minerals Services, Except Fuels (except geophysical surveying and mapping and site preparation and related construction activities performed on a contract or fee basis)",213115,Support Activities for Nonmetallic Minerals (except Fuels)
1481,"Nonmetallic Minerals Services, Except Fuels (site preparation and related construction activities on a contract basis)",238910,Site Preparation Contractors
1481,"Nonmetallic Minerals Services, Except Fuels (geophysical surveying and mapping)",541360,Geophysical Surveying and Mapping Services
1499,"Miscellaneous Nonmetallic Minerals, Except Fuels (bituminous limestone and bituminous sandstone)",212319,Other Crushed and Broken Stone Mining and Quarrying
1499,"Miscellaneous Nonmetallic Minerals, Except Fuels (except bituminous limestone and bituminous sandstone)",212399,All Other Nonmetallic Mineral Mining
1521,General Contractors--Single Family Houses (except remodeling contractors),236115,New Single-Family Housing Construction (except Operative Builders)
1521,General Contractors - Single-Family Houses (remodeling contractors),236118,Residential Remodelers
1522,"General Contractors - Residential Buildings Other Than Single-Family (except remodeling contractors, hotel and motel construction contractors, and dormitory and barrack construction contractors)",236116,New Multifamily Housing Construction (except Operative Builders)
1522,General Contractors - Residential Buildings Other Than Single-Family (remodeling contractors),236118,Residential Remodelers
1522,"General Contractors - Residential Buildings Other Than Single-Family (dormitory, barrack, hotel, and motel construction contractors)",236220,Commercial and Institutional Building Construction
1531,Operative Builders (residential operative builders),236117,New Housing Operative Builders
