,COUNTY_FIPS,naics,est_large,est_small,ghgrp_fac,PRIMARY_NAICS_CODE_12,SECONDARY_NAICS_CODE_12,COUNTY,FACILITY_NAME,FACILITY_ID,pn_4n,sn_4n,naics_4n
18,1015,325194,1,0,0,325199,0,CALHOUN COUNTY,SOLUTIA INC ANNISTON PLANT,1000708,3251,0,3251
71,1023,322121,1,0,0,322110,0,CHOCTAW COUNTY,GEORGIA-PACIFIC CONSUMER PRODUCTS LP,1006962,3221,0,3221
99,1033,331315,1,0,1,331314,0,COLBERT,"WISE ALLOYS, LLC - Alabama Reclamation Plant",1003213,3313,0,3313
188,1071,322130,1,0,0,322121,0,JACKSON,"WestRock CP, LLC - Stevenson Mill",1008553,3221,0,3221
205,1071,327410,0,1,0,327420,0,JACKSON COUNTY,US GYPSUM - BRIDGEPORT PLANT,1002052,3274,0,3274
324,1093,326191,1,0,0,326113,0,MARION,3M CO - GUIN,1003739,3261,0,3261
402,1097,331491,0,1,0,331410,0,MOBILE COUNTY,MITSUBISHI POLYCRYSTALLINE SILICON AMERICAN CORPORATION,1002393,3314,0,3314
460,1113,322130,1,0,0,322121,0,Russell,"WestRock Coated Board, LLC",1000262,3221,0,3221
541,1125,336112,1,0,0,336111,0,TUSCALOOSA COUNTY,MERCEDES-BENZ US INTERNATIONAL INC,1004249,3361,0,3361
642,4025,327420,0,1,0,327410,0,YAVAPAI,LHOIST NORTH AMERICA,1006911,3274,0,3274
709,5003,322121,1,0,0,322110,0,ASHLEY,"GEORGIA-PACIFIC, LLC-CROSSETT",1007214,3221,0,3221
758,5027,325199,1,0,0,325180,0,COLUMBIA,ALBEMARLE CORPORATION-SOUTH PLANT,1004307,3251,0,3251
805,5069,322130,2,0,0,322121,0,JEFFERSON,EVERGREEN PACKAGING-PINE BLUFF,1003501,3221,0,3221
806,5069,322130,2,0,0,322121,0,JEFFERSON,"Mondi Bags USA, LLC",1003633,3221,0,3221
918,5125,327999,1,1,0,327910,0,SALINE COUNTY,ALMATIS INC - BAUXITE ARKANSAS,1004327,3279,0,3279
988,5131,327999,1,1,0,327992,0,SEBASTIAN COUNTY,SAINT GOBAIN PROPPANTS (FS),1004609,3279,0,3279
1141,6037,324191,3,7,0,324199,0,LOS ANGELES COUNTY,DEMENNO KERDOON,1006861,3241,0,3241
1525,6083,324191,0,1,0,324110,0,SANTA BARBARA COUNTY,Greka Refining Company,1011345,3241,0,3241
1810,8059,327991,0,2,0,327992,0,JEFFERSON COUNTY,WESTERN AGGREGATES INCORPORATED,1004379,3279,0,3279
1935,9011,322130,3,0,1,322121,0,NEW LONDON,RAND-WHITNEY CONTAINERBOARD LP,1003488,3221,0,3221
2027,12033,322130,1,0,0,322121,322110,ESCAMBIA,International Paper - Pensacola Mill,1000196,3221,3221,3221
2090,13005,311612,1,0,0,311613,0,BACON COUNTY,American Proteins Inc./Alma Division,1011723,3116,0,3116
