,FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,SPENT_LIQUOR_CO2_EMISSIONS,SPENT_LIQUOR_CH4_EMISSIONS,UNIT_NAME,UNIT_TYPE,SPENT_LIQUOR_N2O_EMISSIONS,BIOMASS_CH4_EMISSIONS_FACTOR,BIOMASS_N2O_EMISSIONS_FACTOR
0,1000166,2015,KapStone Paper and Packaging Corp,,,09-PU-004,Pulp Mill Lime Kiln,,,
1,1000166,2015,KapStone Paper and Packaging Corp,616612.3,12.41,08-PU-012,Chemical Recovery Furnace,2.743,0.0019,0.00042
2,1000183,2015,P H Glatfelter Company - Chillicothe Fac,543207.3,11.01,B011,Chemical Recovery Furnace,2.433,0.0019,0.00042
3,1000183,2015,P H Glatfelter Company - Chillicothe Fac,,,P001,Pulp Mill Lime Kiln,,,
4,1000196,2015,International Paper - Pensacola Mill,505144.1,10.17,#1 Recovery Boiler,Chemical Recovery Furnace,2.247,0.0019,0.00042
5,1000196,2015,International Paper - Pensacola Mill,,,Lime Kiln,Pulp Mill Lime Kiln,,,
6,1000196,2015,International Paper - Pensacola Mill,521397,10.49,No. 2 Recovery Boiler,Chemical Recovery Furnace,2.32,0.0019,0.00042
7,1000228,2015,International Paper - New Bern Mill,748913.8,15.07,Recovery Furnace,Chemical Recovery Furnace,3.332,0.0019,0.00042
8,1000228,2015,International Paper - New Bern Mill,,,Lime Kiln,Pulp Mill Lime Kiln,,,
9,1000229,2015,Domtar Paper Company LLC - Plymouth,1049207.5,21.12,No. 5 Recovery Furnace,Chemical Recovery Furnace,4.668,0.0019,0.00042
10,1000229,2015,Domtar Paper Company LLC - Plymouth,,,Lime Kiln,Pulp Mill Lime Kiln,,,
11,1000230,2015,Blue Ridge Paper Products LLC,,,Lime Kiln No.5,Pulp Mill Lime Kiln,,,
12,1000230,2015,Blue Ridge Paper Products LLC,,,Lime Kiln No.4,Pulp Mill Lime Kiln,,,
13,1000230,2015,Blue Ridge Paper Products LLC,487708.1,9.86,Recovery Furnace No.10,Chemical Recovery Furnace,2.179,0.0019,0.00042
14,1000230,2015,Blue Ridge Paper Products LLC,501657.7,10.14,Recovery Furnace No.11,Chemical Recovery Furnace,2.241,0.0019,0.00042
15,1000256,2015,"WestRock Virginia, Covington",464540,9.41,No. 1 Recovery Furnace REC001,Chemical Recovery Furnace,2.079,0.0019,0.00042
16,1000256,2015,"WestRock Virginia, Covington",,,No. 2 Lime Kiln REC047,Pulp Mill Lime Kiln,,,
17,1000256,2015,"WestRock Virginia, Covington",919960.8,18.63,No. 2 Recovery Furnace REC010,Chemical Recovery Furnace,4.118,0.0019,0.00042
18,1000258,2015,International Paper-Franklin Mill,797924.9,16.06,Recovery Boiler 6,Chemical Recovery Furnace,3.55,0.0019,0.00042
19,1000258,2015,International Paper-Franklin Mill,,,Lime Kiln 4,Pulp Mill Lime Kiln,,,
20,1000262,2015,"WestRock Coated Board, LLC",535474.3,10.79,No 1. Recovery Furnace,Chemical Recovery Furnace,2.385,0.0019,0.00042
21,1000262,2015,"WestRock Coated Board, LLC",,,No. 2 Lime Kiln,Pulp Mill Lime Kiln,,,
22,1000262,2015,"WestRock Coated Board, LLC",700124.2,14.11,No. 2 Recovery Furnace,Chemical Recovery Furnace,3.118,0.0019,0.00042
23,1000262,2015,"WestRock Coated Board, LLC",,,No. 1 Lime Kiln,Pulp Mill Lime Kiln,,,
24,1000273,2015,"GP Big Island, LLC",60016.1,1.14,REC 13,Chemical Recovery Combustion Unit,.251,0.0019,0.00042
25,1000305,2015,Resolute Forest Product - Coosa Pines Operation,681598.4,13.72,Z003,Chemical Recovery Furnace,3.033,0.0019,0.00042
26,1000305,2015,Resolute Forest Product - Coosa Pines Operation,,,Z032,Pulp Mill Lime Kiln,,,
27,1000311,2015,Resolute Forest Products Calhoun Operation,,,Lime Kiln,Pulp Mill Lime Kiln,,,
28,1000311,2015,Resolute Forest Products Calhoun Operation,570344.7,11.54,No.3 Recovery Furnace,Chemical Recovery Furnace,2.551,0.0019,0.00042
29,1000319,2015,"WestRock CP, LLC - Florence Mill",626895.3,12.62,RF1,Chemical Recovery Furnace,2.789,0.0019,0.00042
30,1000319,2015,"WestRock CP, LLC - Florence Mill",,,LK1,Pulp Mill Lime Kiln,,,
31,1000319,2015,"WestRock CP, LLC - Florence Mill",,,LK2,Pulp Mill Lime Kiln,,,
32,1000324,2015,Marlboro Paper Mill,,,Lime Kiln,Pulp Mill Lime Kiln,,,
33,1000324,2015,Marlboro Paper Mill,806528.2,16.23,Recovery Boiler,Chemical Recovery Furnace,3.588,0.0019,0.00042
34,1000345,2015,"Foley Cellulose, LLC",,,No. 4 Lime Kiln,Pulp Mill Lime Kiln,,,
35,1000345,2015,"Foley Cellulose, LLC",308555.5,6.21,No. 3 Recovery Boiler,Chemical Recovery Furnace,1.373,0.0019,0.00042
36,1000345,2015,"Foley Cellulose, LLC",349435.9,7.03,No. 2 Recovery Boiler,Chemical Recovery Furnace,1.555,0.0019,0.00042
37,1000345,2015,"Foley Cellulose, LLC",483184.8,9.73,No. 4 Recovery Boiler,Chemical Recovery Furnace,2.15,0.0019,0.00042
38,1000348,2015,Resolute FP US Inc. - Catawba Operations,,,07-2723,Pulp Mill Lime Kiln,,,
39,1000348,2015,Resolute FP US Inc. - Catawba Operations,347871.8,7,07-2505,Chemical Recovery Furnace,1.548,0.0019,0.00042
40,1000348,2015,Resolute FP US Inc. - Catawba Operations,679702.8,13.68,07-5105,Chemical Recovery Furnace,3.024,0.0019,0.00042
41,1000353,2015,Sonoco Products Co.,8269.5,.15,Chemical Recovery Kiln,Chemical Recovery Combustion Unit,.033,0.0019,0.00042
42,1000426,2015,KapStone Charleston Kraft LLC,,,No. 5 Lime Kiln/CP002,Pulp Mill Lime Kiln,,,
43,1000426,2015,KapStone Charleston Kraft LLC,,,No. 4 Lime Kiln/CP001,Pulp Mill Lime Kiln,,,
44,1000426,2015,KapStone Charleston Kraft LLC,582152.8,11.76,No. 9 Recovery Boiler/REC007,Chemical Recovery Furnace,2.6,0.0019,0.00042
45,1000426,2015,KapStone Charleston Kraft LLC,854700.2,17.27,No. 1 Recovery Boiler/REC004,Chemical Recovery Furnace,3.817,0.0019,0.00042
46,1000434,2015,International Paper - Vicksburg Mill,635375.2,12.82,RB1 (AA005),Chemical Recovery Furnace,2.834,0.0019,0.00042
47,1000434,2015,International Paper - Vicksburg Mill,,,LK1 (AA003),Pulp Mill Lime Kiln,,,
48,1000593,2015,VERSO ANDROSCOGGIN LLC,,,A Lime Kiln,Pulp Mill Lime Kiln,,,
49,1000593,2015,VERSO ANDROSCOGGIN LLC,,,B Lime Kiln,Pulp Mill Lime Kiln,,,
50,1000593,2015,VERSO ANDROSCOGGIN LLC,313113,6.35,Recovery Boiler 1,Chemical Recovery Furnace,1.403,0.0019,0.00042
51,1000593,2015,VERSO ANDROSCOGGIN LLC,441867.9,8.89,Recovery Boiler 2,Chemical Recovery Furnace,1.966,0.0019,0.00042
52,1000602,2015,"GRAPHIC PACKAGING INTERNATIONAL LLC, West Monroe Mill Plant 31",,,No. 2 Lime Kiln (L04003),Pulp Mill Lime Kiln,,,
53,1000602,2015,"GRAPHIC PACKAGING INTERNATIONAL LLC, West Monroe Mill Plant 31",350764.5,7.06,No. 5 Recovery Boiler (L03007/L03008),Chemical Recovery Furnace,1.561,0.0019,0.00042
