,TIER_3_OPERATING_HOURS_SUB,FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,UNIT_NAME,FUEL_TYPE,FUEL_TYPE_BLEND,TIER_1_METHOD_EQUATION,TIER_1_START_DATE,TIER_1_END_DATE,TIER_1_CO2_EMISSIONS,TIER_1_CH4_EMISSIONS,TIER_1_N2O_EMISSIONS,TIER_1_CH4_EMISSIONS_CO2E,TIER_1_N2O_EMISSIONS_CO2E,TIER_2_METHOD_EQUATION,TIER_2_START_DATE,TIER_2_END_DATE,TIER_2_HHV_DETERMIN_FREQUENCY,TIER2_HHV_DETERMIN_FREQ_OTH,TIER_2_CO2_EMISSIONS,TIER_2_CH4_EMISSIONS,TIER_2_N2O_EMISSIONS,TIER_2_CH4_EMISSIONS_CO2E,TIER_2_N2O_EMISSIONS_CO2E,TIER_3_METHOD_EQUATION,TIER_3_START_DATE,TIER_3_END_DATE,TIER3_CARBON_DETERMIN_FREQUENC,TIER3_CARBON_DETERMIN_NUM_SUB,TIER3_CARBON_DETERMIN_NUM_VALI,TIER3_MOL_DETERMIN_FREQ,TIER3_MOL_DETERMIN_FREQ_OTHER,TIER3_MOL_DETERMIN_NUMBER,TIER3_MOL_DETERMIN_NUM_VALID,TIER_3_CO2_EMISSIONS,TIER_3_CH4_EMISSIONS,TIER_3_N2O_EMISSIONS,TIER_3_CH4_EMISSIONS_CO2E,TIER_3_N2O_EMISSIONS_CO2E,PCT_HEAT_INPUT_COMBUSTED,PCT_HEAT_INPUT_COMBUSTED_IND,PCT_HEAT_INPUT_COMBUSTED_SUB
0,,1006776,2013,International Paper - Valliant Mill,Lime Kiln (EUG E7),Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2013-01-01-00:0,2013-12-31-00:0,Monthly,,39466.7,2.01,0,50.3,0,,,,,,,,,,,,,,,,,,
1,,1006776,2013,International Paper - Valliant Mill,Lime Kiln (EUG E7),Petroleum Coke,,Tier 1 (Equation C-1),2013-01-01-00:0,2013-12-31-00:0,17200.3,.45,0,11.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1006776,2013,International Paper - Valliant Mill,Recovery Furnace (EUG D6),Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2013-01-01-00:0,2013-12-31-00:0,Monthly,,15129.8,.29,.03,7.3,8.9,,,,,,,,,,,,,,,,,,
3,,1004705,2013,CLEARWATER PAPER CORP,Number 4 Recovery Furnace,Natural Gas (Weighted U.S. Average),,Tier 1 (Equation C-1),2013-01-01-00:0,2013-12-31-00:0,6051.5,.11,.011,2.9,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,1004705,2013,CLEARWATER PAPER CORP,Number 5 Recovery Furnace,Natural Gas (Weighted U.S. Average),,Tier 1 (Equation C-1),2013-01-01-00:0,2013-12-31-00:0,496,.01,.001,.2,.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,1004705,2013,CLEARWATER PAPER CORP,Number 3 Lime Kiln,Natural Gas (Weighted U.S. Average),,Tier 1 (Equation C-1),2013-01-01-00:0,2013-12-31-00:0,29907.2,1.52,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,1004705,2013,CLEARWATER PAPER CORP,Number 4 Lime Kiln,Natural Gas (Weighted U.S. Average),,Tier 1 (Equation C-1),2013-01-01-00:0,2013-12-31-00:0,32972.3,1.68,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,1007196,2013,Verso Wickliffe LLC,03,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2013-01-01-00:0,2013-12-31-00:0,Semiannually,,8060,.15,.015,3.8,4.5,,,,,,,,,,,,,,,,,,
8,,1007196,2013,Verso Wickliffe LLC,08,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2013-01-01-00:0,2013-12-31-00:0,Semiannually,,28984,1.48,0,36.9,0,,,,,,,,,,,,,,,,,,
9,,1000166,2013,KapStone Paper and Packaging Corp,09-PU-004,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2013-01-01-00:0,2013-12-31-00:0,Daily,,28577,1.45,0,36.3,0,,,,,,,,,,,,,,,,,,
10,,1000166,2013,KapStone Paper and Packaging Corp,09-PU-004,Residual Fuel Oil No. 6,,,,,,,,,,Tier 2 (Equation C-2,2013-01-01-00:0,2013-12-31-00:0,Once per fuel lot,,1022.6,.04,0,1,0,,,,,,,,,,,,,,,,,,
11,,1000166,2013,KapStone Paper and Packaging Corp,08-PU-012,Residual Fuel Oil No. 6,,,,,,,,,,Tier 2 (Equation C-2,2013-01-01-00:0,2013-12-31-00:0,Once per fuel lot,,1269,.05,.01,1.3,3,,,,,,,,,,,,,,,,,,
12,,1000228,2013,International Paper - New Bern Mill,Recovery Furnace,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2013-01-01-00:0,2013-12-31-00:0,Daily,,9069.8,.17,.017,4.3,5.1,,,,,,,,,,,,,,,,,,
13,,1000228,2013,International Paper - New Bern Mill,Recovery Furnace,Liquefied petroleum gases (LPG),,Tier 1 (Equation C-1),2013-01-01-00:0,2013-12-31-00:0,7.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,1000228,2013,International Paper - New Bern Mill,Lime Kiln,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2013-01-01-00:0,2013-12-31-00:0,Daily,,33360,1.7,0,42.4,0,,,,,,,,,,,,,,,,,,
15,,1000228,2013,International Paper - New Bern Mill,Lime Kiln,Residual Fuel Oil No. 6,,Tier 1 (Equation C-1),2013-01-01-00:0,2013-12-31-00:0,9.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
