,TIER_3_OPERATING_HOURS_SUB,FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,UNIT_NAME,FUEL_TYPE,FUEL_TYPE_BLEND,TIER_1_METHOD_EQUATION,TIER_1_START_DATE,TIER_1_END_DATE,TIER_1_CO2_EMISSIONS,TIER_1_CH4_EMISSIONS,TIER_1_N2O_EMISSIONS,TIER_1_CH4_EMISSIONS_CO2E,TIER_1_N2O_EMISSIONS_CO2E,TIER_2_METHOD_EQUATION,TIER_2_START_DATE,TIER_2_END_DATE,TIER_2_HHV_DETERMIN_FREQUENCY,TIER2_HHV_DETERMIN_FREQ_OTH,TIER_2_CO2_EMISSIONS,TIER_2_CH4_EMISSIONS,TIER_2_N2O_EMISSIONS,TIER_2_CH4_EMISSIONS_CO2E,TIER_2_N2O_EMISSIONS_CO2E,TIER_3_METHOD_EQUATION,TIER_3_START_DATE,TIER_3_END_DATE,TIER3_CARBON_DETERMIN_FREQUENC,TIER3_CARBON_DETERMIN_NUM_SUB,TIER3_CARBON_DETERMIN_NUM_VALI,TIER3_MOL_DETERMIN_FREQ,TIER3_MOL_DETERMIN_FREQ_OTHER,TIER3_MOL_DETERMIN_NUMBER,TIER3_MOL_DETERMIN_NUM_VALID,TIER_3_CO2_EMISSIONS,TIER_3_CH4_EMISSIONS,TIER_3_N2O_EMISSIONS,TIER_3_CH4_EMISSIONS_CO2E,TIER_3_N2O_EMISSIONS_CO2E,PCT_HEAT_INPUT_COMBUSTED,PCT_HEAT_INPUT_COMBUSTED_IND,PCT_HEAT_INPUT_COMBUSTED_SUB
0,Hours,1006262,2010,International Paper-Eastover Mill,No.1 Recovery Furnace,Used Oil,,,,,,,,,,,,,,,,,,,,Tier 3 (Equation C-4,2010-01-01-00:0,2010-12-31-00:0,Once per fuel lot,0,13,,,,,2257.3,.09,.018,1.9,5.6,,,
1,Hours,1006262,2010,International Paper-Eastover Mill,No.2 Recovery Furnace,Used Oil,,,,,,,,,,,,,,,,,,,,Tier 3 (Equation C-4,2010-01-01-00:0,2010-12-31-00:0,Once per fuel lot,0,13,,,,,4636.5,.18,.037,3.9,11.5,,,
2,Hours,1000324,2010,Marlboro Paper Mill,Recovery Boiler,Propane,,,,,,,,,,,,,,,,,,,,Tier 3 (Equation C-5,2010-01-01-00:0,2010-12-31-00:0,Other (specify),0,1,Other (specify),annually,,1,34.8,0,0,0,0,,,
3,Hours,1001889,2010,WOODLAND PULP LLC,Unit 02,Residual Fuel Oil No. 6,,,,,,,,,,,,,,,,,,,,Tier 3 (Equation C-4,2010-01-01-00:0,2010-12-31-00:0,Once per fuel lot,125,0,,,,,16577.5,.61,.122,12.8,37.8,,,
4,Hours,1005994,2010,DOMTAR AW LLC ASHDOWN MILL,No. 2 Lime Kiln,Distillate Fuel Oil No. 2,,,,,,,,,,,,,,,,,,,,Tier 3 (Equation C-4,2010-01-01-00:0,2010-12-31-00:0,Once per fuel lot,5,2,,,,,624.1,.07,0,1.5,0,,,
5,Hours,1001889,2010,WOODLAND PULP LLC,Unit 15,Residual Fuel Oil No. 6,,,,,,,,,,,,,,,,,,,,Tier 3 (Equation C-4,2010-01-01-00:0,2010-12-31-00:0,Once per fuel lot,125,0,,,,,42411.4,1.4,0,29.4,0,,,
6,Hours,1005994,2010,DOMTAR AW LLC ASHDOWN MILL,No. 3 Lime Kiln,Distillate Fuel Oil No. 2,,,,,,,,,,,,,,,,,,,,Tier 3 (Equation C-4,2010-01-01-00:0,2010-12-31-00:0,Once per fuel lot,5,2,,,,,809.8,.09,0,1.9,0,,,
7,,1003280,2010,PACKAGING CORP. OF AMERICA,7000,,,Tier 1 (Equation C-1),2010-01-01-00:0,2010-12-31-00:0,1864.8,.08,.015,1.6,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,1003280,2010,PACKAGING CORP. OF AMERICA,7020,,,Tier 1 (Equation C-1),2010-01-01-00:0,2010-12-31-00:0,2486,.1,.021,2.2,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,1003280,2010,PACKAGING CORP. OF AMERICA,7010,,,Tier 1 (Equation C-1),2010-01-01-00:0,2010-12-31-00:0,1864.8,.08,.015,1.6,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
