,TIER_3_OPERATING_HOURS_SUB,FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,UNIT_NAME,FUEL_TYPE,FUEL_TYPE_BLEND,TIER_1_METHOD_EQUATION,TIER_1_START_DATE,TIER_1_END_DATE,TIER_1_CO2_EMISSIONS,TIER_1_CH4_EMISSIONS,TIER_1_N2O_EMISSIONS,TIER_1_CH4_EMISSIONS_CO2E,TIER_1_N2O_EMISSIONS_CO2E,TIER_2_METHOD_EQUATION,TIER_2_START_DATE,TIER_2_END_DATE,TIER_2_HHV_DETERMIN_FREQUENCY,TIER2_HHV_DETERMIN_FREQ_OTH,TIER_2_CO2_EMISSIONS,TIER_2_CH4_EMISSIONS,TIER_2_N2O_EMISSIONS,TIER_2_CH4_EMISSIONS_CO2E,TIER_2_N2O_EMISSIONS_CO2E,TIER_3_METHOD_EQUATION,TIER_3_START_DATE,TIER_3_END_DATE,TIER3_CARBON_DETERMIN_FREQUENC,TIER3_CARBON_DETERMIN_NUM_SUB,TIER3_CARBON_DETERMIN_NUM_VALI,TIER3_MOL_DETERMIN_FREQ,TIER3_MOL_DETERMIN_FREQ_OTHER,TIER3_MOL_DETERMIN_NUMBER,TIER3_MOL_DETERMIN_NUM_VALID,TIER_3_CO2_EMISSIONS,TIER_3_CH4_EMISSIONS,TIER_3_N2O_EMISSIONS,TIER_3_CH4_EMISSIONS_CO2E,TIER_3_N2O_EMISSIONS_CO2E,PCT_HEAT_INPUT_COMBUSTED,PCT_HEAT_INPUT_COMBUSTED_IND,PCT_HEAT_INPUT_COMBUSTED_SUB
0,,1007214,2017,GEORGIA-PACIFIC Crossett Paper Operations,Lime Kiln (SN25),Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2017-01-01-00:0,2017-12-31-00:0,Monthly,,35702.5,.67,.067,16.8,20.1,,,,,,,,,,,,,,,,1,,
1,,1007214,2017,GEORGIA-PACIFIC Crossett Paper Operations,8R Boiler (SN26),Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2017-01-01-00:0,2017-12-31-00:0,Monthly,,27,0,0,0,0,,,,,,,,,,,,,,,,,,
2,,1007214,2017,GEORGIA-PACIFIC Crossett Paper Operations,8R Boiler (SN26),Distillate Fuel Oil No. 2,,Tier 1 (Equation C-1),2017-01-01-00:0,2017-12-31-00:0,.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,1007214,2017,GEORGIA-PACIFIC Crossett Paper Operations,8R Boiler (SN26),Used Oil,,Tier 1 (Equation C-1),2017-01-01-00:0,2017-12-31-00:0,5948.4,.24,.048,6,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,1000196,2017,International Paper - Pensacola Mill,No. 2 Recovery Boiler,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2017-01-01-00:0,2017-12-31-00:0,Monthly,,8920.2,.17,.017,4.2,5,,,,,,,,,,,,,,,,,,
5,,1000196,2017,International Paper - Pensacola Mill,#1 Recovery Boiler,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2017-01-01-00:0,2017-12-31-00:0,Monthly,,4964.8,.09,.009,2.3,2.8,,,,,,,,,,,,,,,,,,
6,,1000196,2017,International Paper - Pensacola Mill,Lime Kiln,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2017-01-01-00:0,2017-12-31-00:0,Monthly,,53781.3,1.01,.101,25.3,30.2,,,,,,,,,,,,,,,,1,,
7,,1001889,2017,WOODLAND PULP LLC,Unit 02,Natural Gas (Weighted U.S. Average),,"Tier 1 (Equation C-1b, natural gas billing in mmBtu)",2017-01-01-00:0,2017-12-31-00:0,6493,.12,.012,3.1,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,1001889,2017,WOODLAND PULP LLC,Unit 15,Natural Gas (Weighted U.S. Average),,"Tier 1 (Equation C-1b, natural gas billing in mmBtu)",2017-01-01-00:0,2017-12-31-00:0,32607.9,.61,.061,15.4,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,
9,,1001889,2017,WOODLAND PULP LLC,Unit 15,Used Oil,,,,,,,,,,,,,,,,,,,,Tier 3 (Equation C-4,2017-01-01-00:0,2017-12-31-00:0,Once per fuel lot,0,1,,,,,2671.5,.09,.018,2.3,5.4,0.99,,
10,,1001892,2017,"Verso Quinnesec, LLC",Lime Kiln,Natural Gas (Weighted U.S. Average),,Tier 1 (Equation C-1),2017-01-01-00:0,2017-12-31-00:0,43288.3,2.2,0,55.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
11,,1001892,2017,"Verso Quinnesec, LLC",Recovery Boiler,Natural Gas (Weighted U.S. Average),,Tier 1 (Equation C-1),2017-01-01-00:0,2017-12-31-00:0,3531.5,.07,.007,1.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,1006668,2017,Graphic Packaging International - Texarkana Mill,LK2,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2017-01-01-00:0,2017-12-31-00:0,Monthly,,32482.1,.61,.061,15.3,18.2,,,,,,,,,,,,,,,,1,,
13,,1006668,2017,Graphic Packaging International - Texarkana Mill,LK1,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2017-01-01-00:0,2017-12-31-00:0,Monthly,,21770.5,.41,.041,10.3,12.2,,,,,,,,,,,,,,,,1,,
14,,1006668,2017,Graphic Packaging International - Texarkana Mill,RB1,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2017-01-01-00:0,2017-12-31-00:0,Monthly,,1674.6,.03,.003,.8,.9,,,,,,,,,,,,,,,,,,
15,,1006668,2017,Graphic Packaging International - Texarkana Mill,RB2,Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2017-01-01-00:0,2017-12-31-00:0,Monthly,,2108.5,.04,.004,1,1.2,,,,,,,,,,,,,,,,,,
16,,1001733,2017,International Paper - Red River Mill,RB3 (NA-41-41),Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2017-01-01-00:0,2017-12-31-00:0,Monthly,,64125.7,1.21,.121,30.2,36,,,,,,,,,,,,,,,,,,
17,,1001733,2017,International Paper - Red River Mill,LK (1224-06-06),Natural Gas (Weighted U.S. Average),,,,,,,,,,Tier 2 (Equation C-2,2017-01-01-00:0,2017-12-31-00:0,Monthly,,53818.7,2.74,0,68.5,0,,,,,,,,,,,,,,,,1,,
